"","date","open","high","low","adj.close","volume","macd","boll_ub","boll_lb","rsi_30","cci_30","dx_30","close_30_sma","close_60_sma","arima_res","residuals"
"1812","2017-03-23",254120,257020,253900,254702,300,994.291789274634,267627.261028643,252458.338971357,54.3258441797802,-23.3487127604773,3.30977866716817,256989.466666667,250462.283333333,253916.886510584,785.11348941637
"1813","2017-03-24",255440,255440,252100,252301,300,476.625496684283,267955.323164209,251856.376835791,50.976810680325,-55.1334632808815,11.9777023374191,257199.5,250545.633333333,254641.674196732,-2340.67419673185
"1814","2017-03-27",250100,251270,248810,250881,500,-47.6614903501468,268499.214567693,250821.085432307,49.1240200362,-101.376496083407,25.0972117962627,257362.2,250638.15,252489.393022986,-1608.39302298581
"1815","2017-03-28",251300,253000,249660,252520,400,-327.138058649463,268772.530497,250089.769503,51.2400919936867,-84.8712480180129,15.4267900362434,257501.533333333,250771.816666667,251015.769057098,1504.23094290216
"1816","2017-03-29",252420,252420,249761,249761,300,-762.464281007648,268367.787778047,248869.312221953,47.7794639636594,-102.128283366087,15.4267900362433,257479.6,250865.816666667,252425.566064035,-2664.56606403459
"1817","2017-03-30",249500,251831,249040,251800,300,-932.187511846598,267935.400972951,248121.699027049,50.3434201873156,-99.0829242832327,18.4297272595719,257506.6,250964.983333333,249929.500522214,1870.49947778566
"1818","2017-03-31",251500,251620,249850,249850,300,-1210.09388914952,267601.174344576,247124.925655424,48.0112874019807,-105.420860518416,18.4297272595718,257451.6,251019.15,251687.820226253,-1837.82022625316
"1819","2017-04-03",250121,250600,248523,250600,200,-1354.20750225979,267080.60713665,246425.49286335,48.9521749254987,-110.806465472036,24.0977445947413,257377,251114.95,249968.050467085,631.949532914994
"1820","2017-04-04",250000,250696,249324,250550,400,-1455.67306806112,266399.731556838,245875.368443162,48.8911522960339,-102.572615273524,23.4344603458471,257272.333333333,251200.883333333,250606.481115448,-56.4811154479685
"1821","2017-04-05",251400,252424,248900,248900,300,-1650.20394647456,265775.762150107,245154.337849893,46.8954893484418,-100.012618316187,11.9239392827327,257097.3,251297.366666667,250547.981041904,-1647.98104190436
"1822","2017-04-06",249099,250463,248000,250290,100,-1672.92524498684,264773.691392094,244898.808607906,48.7196456644456,-101.156338607781,16.271011671675,256943.633333333,251434.25,249013.947334266,1276.05266573411
"1823","2017-04-07",248998,250397,248370,249465,200,-1737.47412279577,263708.845896237,244661.054103763,47.7133333133471,-97.6359090340178,16.271011671675,256757.8,251539.333333333,250213.209308094,-748.209308094287
"1824","2017-04-10",249560,250930,249360,250399,300,-1693.73920799882,262257.785212066,244853.014787934,48.9482995347349,-81.2986344665225,12.5130363269551,256577.933333333,251665.15,249506.835665718,892.164334282395
"1825","2017-04-11",248947,249720,247875,248601,300,-1783.60228947701,260914.036610424,244866.863389576,46.7493959146825,-92.6112117830797,20.1950527392273,256294.633333333,251766.833333333,250343.564260974,-1742.5642609736
"1826","2017-04-12",248200,248400,247341,247930,200,-1887.20895115391,259330.20659228,245064.99340772,45.9524418878634,-97.1515480079816,22.8007471592999,255691.866666667,251912.9,248715.608538042,-785.608538042259
"1827","2017-04-13",247380,248140,245000,245000,200,-2180.60780060271,257966.689215839,244836.610784161,42.6668318317038,-113.914534976374,33.0454142056973,255071.866666667,251984.566666667,247995.439744608,-2995.43974460839
"1828","2017-04-17",245860,247026,244416,246700,200,-2250.01592708708,256634.712664721,244943.387335279,45.0260542788529,-107.705900356457,35.3338406040809,254523.2,252110.9,245206.598081541,1493.40191845893
"1829","2017-04-18",246340,246400,245000,245750,100,-2354.53778200119,255371.831603251,244981.268396749,43.9798543688921,-106.432682551048,35.3338406040809,253954.866666667,252202.066666667,246581.954424158,-831.954424158117
"1830","2017-04-19",246050,246684,243600,244047,300,-2545.44763662622,255298.882445264,244093.817554736,42.1630943514942,-113.51518178754,40.8699824573423,253327.766666667,252301.183333333,245813.391730262,-1766.39173026185
"1831","2017-04-20",244701,247950,244701,247200,200,-2414.49156675549,254705.175441185,244019.524558815,46.4035486951922,-85.8818907750306,30.1031645697026,252822.766666667,252405.516666667,244189.948954004,3010.05104599564
"1832","2017-04-21",247850,247850,245060,245550,200,-2415.99901552618,253876.812322324,243932.687677676,44.6320634551429,-89.25857349003,30.1031645697025,252245.566666667,252392.35,246996.727747595,-1446.72774759532
"1833","2017-04-24",248999,249000,246880,248850,200,-2126.3994495713,253440.528146707,244023.871853293,48.6851221731032,-56.8368731481736,20.540204195314,251790.866666667,252412.516666667,245639.510615317,3210.4893846834
"1834","2017-04-25",250125,252000,250125,251231,400,-1685.33540844347,253494.119795953,244005.280204047,51.3436011613405,-6.74405555165894,0.0358038591340964,251398.9,252483.033333333,248612.201803397,2618.79819660346
"1835","2017-04-26",251231,253390,250920,251351,300,-1310.99366216449,253265.85927871,244116.64072129,51.4746712299807,14.445742971354,7.73736735912342,251047.266666667,252563.883333333,251021.914621882,329.085378117627
"1836","2017-04-27",251460,251600,248475,249950,300,-1114.52655425743,253285.383613054,244116.016386946,49.8527388896759,-17.5395573021535,5.99709881341836,250652.7,252630.05,251315.105506195,-1365.10550619519
"1837","2017-04-28",249500,249500,246750,247780,300,-1121.00358875468,252859.221852128,244140.178147872,47.4567647027333,-61.0995322288015,14.2421480117052,250214.733333333,252669.216666667,250050.978493435,-2270.9784934349
"1838","2017-05-01",248460,249420,248000,248270,200,-1074.21489967126,252734.214337182,244107.185662818,48.0401036727369,-41.4513749743623,14.2421480117052,249858.666666667,252734.883333333,247956.088296403,313.911703596939
"1839","2017-05-02",248900,249460,248000,249010,200,-966.283990564058,252542.752324686,244139.647675314,48.9259599945215,-27.0977777875011,13.9772562352153,249559,252790.95,248263.431438868,746.568561131891
"1840","2017-05-03",248900,250825,248900,250000,200,-791.736594647402,252461.23304485,244166.16695515,50.1032779308149,15.4985143337748,5.08863835167048,249437.3,252877.2,248961.329781491,1038.67021850921
