Date,Open,High,Low,Close,Adj Close,Volume
2017-01-13,2.74,2.8,2.69,2.78,2.78,76600
2017-01-20,2.76,2.78,2.7,2.71,2.71,70600
2017-01-23,2.71,2.79,2.64,2.77,2.77,89500
2017-01-24,2.79,2.95,2.75,2.9,2.9,122100
2017-01-25,2.91,3.0,2.91,2.96,2.96,144600
2017-01-26,2.96,2.98,2.74,2.765,2.765,68800
2017-01-27,2.77,2.77,2.7,2.72,2.72,39600
2017-01-30,2.71,2.71,2.6,2.6,2.6,67300
2017-01-31,2.6,2.65,2.55,2.63,2.63,64800
2017-02-01,2.64,2.8,2.64,2.78,2.78,92300
2017-02-02,2.77,2.9,2.72,2.85,2.85,83600
2017-02-03,2.87,2.87,2.76,2.77,2.77,44600
2017-02-06,2.77,2.77,2.64,2.65,2.65,64500
2017-02-08,2.64,2.67,2.59,2.61,2.61,106000
2017-02-09,2.61,2.71,2.59,2.69,2.69,110200
2017-02-15,2.67,2.81,2.67,2.78,2.78,38300
2017-02-17,2.8,2.8,2.69,2.73,2.73,53400
2017-02-22,2.71,2.8,2.68,2.79,2.79,31600
2017-02-24,2.77,2.93,2.76,2.84,2.84,93600
2017-02-28,2.775,2.799,2.62,2.71,2.71,74100
2017-03-01,2.71,2.78,2.704,2.74,2.74,21600
2017-03-03,2.79,2.81,2.7,2.76,2.76,151500
2017-03-06,2.74,2.805,2.69,2.71,2.71,115400
2017-03-08,2.73,2.93,2.67,2.82,2.82,176700
2017-03-10,2.84,3.0,2.84,2.94,2.94,60500
2017-03-13,2.93,3.23,2.88,3.2,3.2,271600
2017-03-14,3.18,3.39,3.04,3.15,3.15,179300
2017-03-15,3.15,3.21,3.07,3.18,3.18,66000
2017-03-16,3.2,3.22,3.16,3.2,3.2,81200
2017-03-17,3.15,3.47,3.15,3.39,3.39,393600
2017-03-21,3.36,3.41,3.33,3.35,3.35,78800
2017-03-22,3.32,3.4,3.23,3.32,3.32,125600
2017-03-23,3.31,4.0,3.26,3.95,3.95,1573400
2017-03-24,3.94,4.0,3.59,3.59,3.59,526500
2017-03-27,3.65,4.09,3.62,4.04,4.04,208600
2017-03-28,4.05,4.19,3.94,4.07,4.07,135700
2017-03-29,4.09,4.19,4.01,4.19,4.19,197500
2017-03-30,4.25,4.3,4.08,4.29,4.29,164700
2017-03-31,4.33,4.43,4.276,4.37,4.37,158500
2017-04-04,4.41,4.42,4.2,4.23,4.23,144900
2017-04-05,4.27,4.4,4.13,4.15,4.15,194100
2017-04-06,4.22,4.879,4.15,4.86,4.86,518300
2017-04-10,4.93,5.37,4.84,5.03,5.03,240100
2017-04-11,5.03,5.07,4.91,5.0,5.0,142200
2017-04-12,4.99,5.03,4.79,4.86,4.86,109900
2017-04-17,4.85,4.85,4.75,4.8,4.8,105800
2017-04-18,4.78,5.33,4.75,5.24,5.24,471000
2017-04-19,5.29,6.03,5.246,5.79,5.79,511600
2017-04-20,5.79,5.99,5.33,5.49,5.49,271200
2017-04-21,5.58,5.98,5.45,5.75,5.75,240600
2017-04-24,5.84,6.07,5.68,5.78,5.78,274100
2017-04-25,5.84,6.02,5.53,5.61,5.61,222600
2017-04-26,5.5,5.89,5.5,5.7,5.7,196600
2017-04-27,5.76,5.99,5.71,5.82,5.82,151300
2017-04-28,5.84,5.89,5.6,5.61,5.61,152900
2017-05-01,5.6,5.76,5.6,5.69,5.69,71000
2017-05-02,5.71,5.8,5.59,5.6,5.6,64700
2017-05-03,5.55,5.66,5.3,5.41,5.41,142400
2017-05-04,5.37,5.39,5.085,5.22,5.22,140000
2017-05-05,5.27,5.73,5.27,5.58,5.58,99200
2017-05-09,5.18,6.18,5.109,6.13,6.13,499100
2017-05-10,6.23,6.9,6.23,6.56,6.56,404700
2017-05-11,6.63,6.91,6.31,6.86,6.86,294100
2017-05-12,6.87,7.18,6.74,6.97,6.97,250100
2017-05-15,7.0,7.33,6.89,6.9,6.9,292300
2017-05-16,6.9,7.16,6.798,7.03,7.03,286100
2017-05-17,7.04,7.16,6.75,6.82,6.82,182100
2017-05-18,6.82,7.03,6.76,6.93,6.93,180500
2017-05-19,6.95,7.21,6.94,6.99,6.99,125400
2017-05-22,7.04,7.45,7.04,7.26,7.26,349000
2017-05-23,7.29,7.4,7.05,7.2,7.2,226800
2017-05-24,7.17,7.222,7.04,7.09,7.09,95700
2017-05-25,7.09,7.25,6.97,7.01,7.01,291300
2017-05-30,7.04,7.08,6.8,6.84,6.84,273500
2017-05-31,6.92,7.1,6.92,7.03,7.03,260800
2017-06-01,7.01,7.36,7.0,7.15,7.15,220900
2017-06-02,7.15,7.43,7.13,7.4,7.4,128700
2017-06-07,7.4,7.6,7.21,7.52,7.52,139700
2017-06-08,7.55,7.63,7.03,7.15,7.15,334800
2017-06-09,7.2,7.375,6.999,7.07,7.07,227500
2017-06-12,7.05,7.13,6.97,7.02,7.02,187500
2017-06-13,7.06,7.21,7.01,7.17,7.17,131200
2017-06-14,7.18,7.25,7.04,7.1,7.1,147000
2017-06-15,7.08,7.15,6.98,7.06,7.06,141300
2017-06-16,7.02,7.13,7.0,7.1,7.1,373200
2017-06-19,7.15,7.47,7.15,7.46,7.46,219300
2017-06-20,7.49,7.6,7.34,7.41,7.41,161900
2017-06-21,7.46,7.46,6.98,7.02,7.02,138500
2017-06-26,7.15,7.24,7.0,7.17,7.17,249900
2017-06-27,7.17,7.22,6.97,6.99,6.99,142000
2017-06-28,7.04,7.29,7.02,7.1,7.1,160700
2017-06-29,7.16,7.33,7.07,7.31,7.31,193900
2017-06-30,7.31,7.45,7.16,7.18,7.18,193500
2017-07-03,7.17,7.45,7.07,7.4,7.4,76000
2017-07-05,7.41,7.615,7.318,7.58,7.58,206000
2017-07-06,7.59,7.98,7.335,7.92,7.92,294100
